agent,scoring_function,opponent,agent_wins,oppnent_wins,total_matches
ID_Improved,improved_score,Random,83,17,100
ID_Improved,improved_score,MM_Null,77,23,100
ID_Improved,improved_score,MM_Open,64,36,100
ID_Improved,improved_score,MM_Improved,58,42,100
ID_Improved,improved_score,AB_Null,64,36,100
ID_Improved,improved_score,AB_Open,63,37,100
ID_Improved,improved_score,AB_Improved,48,52,100
Student,weighted_openmovediff_score,Random,92,8,100
Student,weighted_openmovediff_score,MM_Null,80,20,100
Student,weighted_openmovediff_score,MM_Open,64,36,100
Student,weighted_openmovediff_score,MM_Improved,67,33,100
Student,weighted_openmovediff_score,AB_Null,69,31,100
Student,weighted_openmovediff_score,AB_Open,66,34,100
Student,weighted_openmovediff_score,AB_Improved,55,45,100
ID_Improved,improved_score,Random,82,18,100
ID_Improved,improved_score,MM_Null,69,31,100
ID_Improved,improved_score,MM_Open,70,30,100
ID_Improved,improved_score,MM_Improved,63,37,100
ID_Improved,improved_score,AB_Null,73,27,100
ID_Improved,improved_score,AB_Open,69,31,100
ID_Improved,improved_score,AB_Improved,58,42,100
Student,center_weighted_moves,Random,89,11,100
Student,center_weighted_moves,MM_Null,84,16,100
Student,center_weighted_moves,MM_Open,68,32,100
Student,center_weighted_moves,MM_Improved,61,39,100
Student,center_weighted_moves,AB_Null,71,29,100
Student,center_weighted_moves,AB_Open,61,39,100
Student,center_weighted_moves,AB_Improved,69,31,100
ID_Improved,improved_score,Random,88,12,100
ID_Improved,improved_score,MM_Null,73,27,100
ID_Improved,improved_score,MM_Open,58,42,100
ID_Improved,improved_score,MM_Improved,54,46,100
ID_Improved,improved_score,AB_Null,74,26,100
ID_Improved,improved_score,AB_Open,74,26,100
ID_Improved,improved_score,AB_Improved,100,0,100
Student,centerdecay_weighted_moves,Random,85,15,100
Student,centerdecay_weighted_moves,MM_Null,81,19,100
Student,centerdecay_weighted_moves,MM_Open,73,27,100
Student,centerdecay_weighted_moves,MM_Improved,56,44,100
Student,centerdecay_weighted_moves,AB_Null,76,24,100
Student,centerdecay_weighted_moves,AB_Open,83,17,100
Student,centerdecay_weighted_moves,AB_Improved,99,1,100
